"NDC","YEAR","MONTH"
"0360-0320-01",1997,2
"0360-0326-01",1997,2
"0360-0327-01",1997,2
"0360-0332-01",1997,2
"0360-0333-01",1997,2
"0360-0336-01",1997,2
"0360-0342-01",1997,2
"0360-0343-01",1997,2
"0360-0347-02",1997,2
"0360-0349-02",1997,2
"0360-0350-02",1997,2
"0360-0351-01",1997,2
"0360-0353-01",1997,2
"0360-0356-01",1997,2
"0360-0357-01",1997,2
"0360-0360-01",1997,2
"0360-0361-01",1997,2
"0360-0362-01",1997,2
"0360-0363-01",1997,2
"0360-0368-01",1997,2
"0360-0369-01",1997,2
"0360-0373-01",1997,2
"0360-0374-01",1997,2
"0360-0377-01",1997,2
"0360-0381-01",1997,2
"0360-0382-01",1997,2
"0360-0385-01",1997,2
"0360-0386-01",1997,2
"0360-0387-01",1997,2
"0360-0388-01",1997,2
"0360-0391-01",1997,2
"0360-0392-01",1997,2
"0360-0394-01",1997,2
"0360-0395-01",1997,2
"0363-0039-16",2014,7
"0363-0080-86",2013,9
"0363-0085-34",2014,5
"0363-0086-01",2016,7
"0363-0088-10",2011,3
"0363-0089-04",2014,5
"0363-0210-30",2012,1
"0363-0229-10",2011,12
"0363-0281-04",2014,5
"0363-0350-10",2013,5
"0363-0350-50",2013,5
"0363-0480-11",2014,9
"0363-0540-01",2017,10
"0363-0564-50",2016,7
"0363-0564-53",2016,7
"0363-0583-22",2009,7
"0363-0630-10",2008,11
"0363-0643-06",2016,3
"0363-0663-16",2014,1
"0363-0682-11",2016,7
"0363-0692-11",2013,1
"0363-0696-11",2013,1
"0363-0702-26",2014,10
"0363-0723-24",2016,5
"0363-0741-25",2018,1
"0363-0741-40",2018,1
"0363-0749-12",2018,1
"0363-0801-10",2013,4
"0363-0803-43",2016,6
"0363-0810-50",1989,10
"0363-0815-16",2012,12
"0363-0889-27",1989,12
"0363-0911-15",2014,7
"0363-0926-01",2001,4
"0363-0927-01",2000,8
"0363-0930-01",2016,8
"0363-0945-16",2018,1
"0363-0945-30",2018,1
"0363-0945-40",2018,1
"0363-0945-80",2018,1
"0363-1020-26",2008,3
"0363-1090-18",2015,6
"0363-1091-18",2015,6
"0363-1116-01",2016,2
"0363-1117-01",2015,12
"0363-1465-15",2014,11
"0363-1497-90",2018,2
"0363-1671-26",2016,3
"0363-1671-27",2016,3
"0363-1819-55",2018,3
"0363-1819-74",2018,3
"0363-2013-01",2012,6
"0363-2014-01",2012,6
"0363-2720-26",2016,3
"0363-3191-01",2015,4
"0363-3215-01",2014,2
"0363-3216-01",2013,2
"0363-3286-04",2013,7
"0363-3300-03",2014,8
"0363-3492-01",2015,11
"0363-3560-02",2013,4
"0363-3800-15",2018,3
"0363-3890-22",2016,6
"0363-4001-22",2012,12
"0363-4004-16",2012,12
"0363-4005-22",2012,12
"0363-4005-26",2012,12
"0363-4005-27",2012,12
"0363-4006-19",2012,12
"0363-4006-22",2012,12
"0363-4007-19",2016,10
"0363-4007-22",2016,10
"0363-4008-81",2012,12
"0363-4009-23",2012,12
"0363-4010-22",2012,12
"0363-4011-22",2012,12
"0363-4013-22",2013,8
"0363-4014-81",2013,8
"0363-4015-22",2013,8
"0363-4015-27",2013,8
"0363-4016-19",2016,6
"0363-4016-22",2016,6
"0363-4016-29",2013,8
"0363-4017-22",2016,3
"0363-4018-22",2016,3
"0363-4660-11",2014,9
"0363-4734-27",2016,1
"0363-4735-22",2016,4
"0363-4735-23",2016,4
"0363-4980-26",2016,1
"0363-5336-19",2013,8
"0363-5528-35",2018,3
"0363-5528-55",2018,3
"0363-5528-80",2018,3
"0363-5529-35",2018,3
"0363-5529-55",2018,3
"0363-5529-80",2018,3
"0363-6050-02",2013,9
"0363-6060-02",2013,9
"0363-6500-01",2017,5
"0363-7864-15",2015,7
"0363-7864-30",2015,7
"0363-7872-28",2015,5
"0363-8190-01",2015,7
"0363-9020-11",2007,12
"0363-9021-11",2012,12
"0363-9030-11",2007,12
"0363-9031-11",2012,12
"0363-9110-06",2018,3
"0363-9113-03",2013,6
"0363-9247-17",2017,3
"0363-9247-41",2017,3
"0363-9362-11",2013,1
"0363-9425-01",2017,8
"0363-9560-85",2018,3
"0363-9688-11",2013,12
"0363-9921-26",2017,11
"0363-9922-56",2015,9
"0363-9923-46",2017,11
"0363-9924-21",2017,11
"0363-9926-20",2017,8
"0363-9936-26",2017,11
"0395-0127-91",1997,1
"0395-0431-01",2017,11
"0395-1207-16",2017,10
"0395-1207-92",2017,10
"0395-1220-16",2017,11
"0395-1220-91",2017,11
"0395-1667-16",2017,11
"0395-1667-92",2017,11
"0395-2075-92",1998,3
"0395-2649-01",2017,11
"0395-6120-34",2016,6
"0395-6120-59",2016,6
"0395-9113-16",2017,11
"0395-9113-92",2017,11
"0395-9113-96",2017,11
"0404-0008-04",2016,6
"0404-0009-03",2016,6
"0404-0010-03",2016,7
"0404-0011-04",2016,7
"0404-4445-01",2013,1
"0404-4445-02",2013,1
"0406-1510-56",2012,4
"0406-1510-57",2012,4
"0406-1510-59",2012,4
"0407-0690-42",2010,6
"0407-0690-43",2010,6
