"RXCUI","NDC","YEAR","MONTH"
351926,"0169-3303-90",2001,8
351926,"0169-3303-91",2001,8
977842,"0169-3685-12",2001,11
977842,"0169-3685-92",2001,11
977842,"0169-3696-19",2002,9
977840,"0169-3696-98",2002,9
351926,"0169-6339-10",2003,1
1653204,"0169-6339-98",2003,1
351926,"0169-7501-11",2001,8
351926,"0169-7501-90",2001,8
213780,"0173-0388-79",1989,10
728085,"0173-0478-00",1997,1
728085,"0173-0479-00",1997,1
540930,"0173-0518-01",2003,5
104532,"0173-0520-00",1997,12
104532,"0173-0521-00",1997,11
317068,"0173-0556-01",1997,5
213264,"0173-0600-02",2007,5
284448,"0173-0695-00",2001,2
284450,"0173-0696-00",2001,2
211534,"0173-0718-20",2007,4
211532,"0173-0719-20",2007,1
211533,"0173-0720-20",2007,1
607044,"0173-0783-02",2008,10
1487524,"0173-0869-06",2014,1
1487528,"0173-0869-10",2014,1
1487524,"0173-0869-61",2014,1
1539885,"0173-0873-06",2014,4
1539885,"0173-0873-10",2014,4
1539885,"0173-0873-61",2014,4
607044,"0173-0884-08",2016,5
2109239,"0173-0889-13",2019,1
2109239,"0173-0889-39",2019,1
724160,"0178-0320-03",1981,1
724160,"0178-0320-05",1981,1
1494206,"0178-0330-02",2010,3
1494206,"0178-0330-03",2010,3
1494206,"0178-0330-08",2010,3
1494203,"0178-0340-03",2014,4
1494203,"0178-0345-03",2014,4
1494203,"0178-0348-03",2014,4
1494203,"0178-0348-06",2014,4
724160,"0178-0350-03",1981,1
199099,"0178-0370-03",2013,5
1100375,"0178-0812-30",2010,4
351254,"0185-0448-01",2010,3
351254,"0185-0448-10",2010,3
309937,"0185-0649-01",2000,5
309937,"0185-0649-10",2000,5
979549,"0185-4057-01",1977,8
979549,"0185-4057-10",1977,8
979543,"0185-5254-01",1977,9
979543,"0185-5254-10",1977,9
1728288,"0187-1950-03",2015,11
1728288,"0187-1950-05",2015,11
1728288,"0187-1950-12",2015,11
1728288,"0187-1950-35",2015,11
1728288,"0187-1950-40",2015,11
1728288,"0187-1950-99",2015,11
1728288,"0187-2487-03",2016,11
417994,"0201-4008-21",2017,11
417994,"0201-4008-53",2017,11
352236,"0206-8861-02",1998,3
1370957,"0219-0203-80",1972,1
1095536,"0224-1801-06",2011,3
1095536,"0224-1801-07",2011,3
1095536,"0224-1801-35",2011,3
1095536,"0224-1801-80",2011,3
1095536,"0224-1801-81",2011,3
1095536,"0224-1801-84",2011,3
1090807,"0224-1822-03",2011,3
1090807,"0224-1822-80",2011,3
1090807,"0224-1841-03",2011,3
1090807,"0224-1841-80",2011,3
1095588,"0224-1847-10",2011,3
1095588,"0224-1847-80",2011,3
1090807,"0224-1852-06",2011,3
1090807,"0224-1852-13",2011,3
1090807,"0224-1852-80",2011,3
1090807,"0224-1852-81",2011,3
1095547,"0224-1855-06",2011,3
1090807,"0224-1855-07",2011,3
1090807,"0224-1855-30",2011,3
1095547,"0224-1855-81",2011,3
1095547,"0224-1855-82",2011,3
1095536,"0224-1856-06",2011,3
1095532,"0224-1856-80",2011,3
1095545,"0224-1866-28",2013,6
1095547,"0224-1866-80",2013,6
1095536,"0224-1879-80",2015,12
1095536,"0224-1879-81",2015,12
1095547,"0224-1884-81",2018,10
1095547,"0224-1884-82",2018,10
1101836,"0225-0360-11",2014,9
1101836,"0225-0360-35",2014,9
1361538,"0225-0610-23",2014,9
251142,"0228-3083-06",2007,3
251140,"0228-3084-06",2007,3
403794,"0228-3086-06",2007,3
251141,"0228-3087-06",2007,3
1537082,"0245-0039-01",2014,9
1537082,"0245-0039-30",2014,9
832891,"0245-0058-01",2011,1
832891,"0245-0058-10",2011,1
832891,"0245-0058-11",2011,1
832891,"0245-0058-15",2011,1
832891,"0245-0058-90",2011,1
1539906,"0245-0871-05",2014,6
1539906,"0245-0871-35",2014,6
1539906,"0245-0872-42",2014,6
577208,"0254-3010-08",2017,9
999965,"0259-0501-16",2013,1
1045330,"0259-1101-20",2014,5
1442092,"0259-1105-01",2013,11
1442092,"0259-1105-20",2013,11
1442092,"0259-1105-50",2013,11
1732161,"0259-1605-01",2010,9
1732161,"0259-1610-01",2010,9
1732161,"0259-1620-01",2015,11
1732161,"0259-1620-10",2015,11
1732161,"0259-4110-01",2010,9
1732161,"0259-4150-01",2010,9
1363391,"0264-1968-10",2015,1
150985,"0264-2101-00",1970,9
150985,"0264-2101-10",1970,9
150985,"0264-2101-50",1970,9
150985,"0264-2101-70",1970,9
200317,"0264-4460-00",2014,6
200317,"0264-4460-10",2014,6
200317,"0264-4460-20",2014,6
200317,"0264-4460-30",2014,6
540930,"0264-7385-50",2014,9
540930,"0264-7385-60",2014,9
150985,"0264-7386-50",2013,9
150985,"0264-7386-60",2013,9
540930,"0264-7850-00",1988,2
540930,"0264-7850-10",1988,2
540930,"0264-7850-20",1988,2
895255,"0268-0021-30",1975,1
895681,"0268-0024-10",1975,1
895681,"0268-0024-30",1975,1
897859,"0268-0027-10",1975,1
897859,"0268-0027-30",1975,1
898136,"0268-0030-10",1975,1
898136,"0268-0030-30",1975,1
898134,"0268-0031-30",1975,1
897557,"0268-0034-10",1975,1
897496,"0268-0037-10",1975,1
897496,"0268-0037-30",1975,1
897498,"0268-0038-30",1975,1
897345,"0268-0041-10",1975,1
897345,"0268-0041-30",1975,1
898409,"0268-0044-10",1975,1
883497,"0268-0047-10",1975,1
883497,"0268-0047-30",1975,1
897359,"0268-0050-30",1975,1
1006490,"0268-0053-10",1975,1
1006490,"0268-0053-30",1975,1
1115843,"0268-0054-10",1975,1
889532,"0268-0057-30",1975,1
900876,"0268-0060-10",1975,1
900876,"0268-0060-30",1975,1
901473,"0268-0063-10",1975,1
901473,"0268-0063-30",1975,1
308004,"0268-0066-10",1975,1
308004,"0268-0066-30",1975,1
889560,"0268-0069-10",1975,1
889560,"0268-0069-30",1975,1
1299998,"0268-0072-10",1975,1
1299998,"0268-0072-30",1975,1
897414,"0268-0075-30",1975,1
897364,"0268-0078-10",1975,1
897364,"0268-0078-30",1975,1
889668,"0268-0087-10",1975,1
889668,"0268-0087-30",1975,1
898413,"0268-0090-10",1975,1
898413,"0268-0090-30",1975,1
898411,"0268-0091-30",1975,1
897993,"0268-0094-10",1975,1
897993,"0268-0094-30",1975,1
897380,"0268-0097-10",1975,1
897380,"0268-0097-30",1975,1
895600,"0268-0100-10",1975,1
895600,"0268-0100-30",1975,1
897852,"0268-0103-10",1975,1
897850,"0268-0104-30",1975,1
900966,"0268-0107-10",1975,1
900966,"0268-0107-30",1975,1
896277,"0268-0110-10",1975,1
896277,"0268-0110-30",1975,1
898021,"0268-0113-10",1975,1
898021,"0268-0113-30",1975,1
900971,"0268-0116-10",1975,1
900971,"0268-0116-30",1975,1
901023,"0268-0119-10",1975,1
900981,"0268-0122-10",1975,1
900981,"0268-0122-30",1975,1
897331,"0268-0125-10",1975,1
898130,"0268-0128-10",1975,1
898130,"0268-0128-30",1975,1
867279,"0268-0129-10",1975,1
898124,"0268-0130-10",1975,1
898126,"0268-0131-10",1975,1
897504,"0268-0134-10",1975,1
307987,"0268-0137-10",1975,1
307987,"0268-0137-30",1975,1
895909,"0268-0140-10",1975,1
895909,"0268-0140-30",1975,1
895918,"0268-0141-30",1975,1
867289,"0268-0144-10",1975,1
898333,"0268-0145-10",1975,1
898335,"0268-0146-10",1975,1
898335,"0268-0146-30",1975,1
898331,"0268-0147-10",1975,1
898415,"0268-0150-10",1975,1
898415,"0268-0150-30",1975,1
896123,"0268-0153-30",1975,1
896146,"0268-0156-30",1975,1
896142,"0268-0157-30",1975,1
896196,"0268-0160-30",1975,1
896182,"0268-0161-30",1975,1
896167,"0268-0164-10",1975,1
896167,"0268-0164-30",1975,1
1191181,"0268-0167-10",1975,1
1191181,"0268-0167-30",1975,1
1006355,"0268-0170-10",1975,1
1006355,"0268-0170-30",1975,1
898008,"0268-0173-10",1975,1
898008,"0268-0173-30",1975,1
898006,"0268-0174-10",1975,1
898006,"0268-0174-30",1975,1
896261,"0268-0177-10",1975,1
896261,"0268-0177-30",1975,1
897323,"0268-0180-30",1975,1
897325,"0268-0183-30",1975,1
898398,"0268-0186-10",1975,1
898398,"0268-0186-30",1975,1
898400,"0268-0189-10",1975,1
898400,"0268-0189-30",1975,1
898318,"0268-0192-10",1975,1
898318,"0268-0192-30",1975,1
898322,"0268-0193-10",1975,1
898322,"0268-0193-30",1975,1
897943,"0268-0196-10",1975,1
