"NDC","YEAR","MONTH"
"0009-5191-01",2000,2
"0009-5191-02",2000,2
"0009-5191-03",2000,2
"0009-5191-04",2000,2
"0009-5191-99",2000,2
"0009-5199-01",2014,7
"0009-5200-01",2014,7
"0009-5400-01",1997,5
"0009-5401-01",1996,5
"0009-6582-01",1987,10
"0009-6780-02",2014,9
"0009-7166-01",2016,10
"0009-7168-01",2016,10
"0009-7188-01",2016,10
"0009-7199-01",2016,10
"0009-7200-01",2016,10
"0009-7224-02",1981,11
"0009-7376-07",1992,10
"0009-7376-11",1992,10
"0009-7529-03",1996,6
"0009-7529-04",1996,6
"0009-7529-05",1996,6
"0009-7663-04",1999,10
"0009-7667-01",1999,8
"0009-7686-04",1995,7
"0009-7807-02",2015,2
"0009-9890-02",2014,9
"0013-0101-01",1950,6
"0013-0101-20",1950,6
"0013-0102-01",1950,6
"0013-0102-20",1950,6
"0013-0132-02",1992,1
"0013-1114-10",1986,12
"0013-1114-15",2017,10
"0013-1114-21",1986,12
"0013-2150-36",1996,4
"0013-2576-91",1997,2
"0013-2586-91",1997,2
"0013-2596-91",1997,2
"0013-2626-81",1995,12
"0013-2646-81",1995,12
"0013-2649-02",1995,12
"0013-2650-02",1995,12
"0013-2651-02",1995,12
"0013-2652-02",1995,12
"0013-2653-02",1995,12
"0013-2654-02",1995,12
"0013-2655-02",1995,12
"0013-2656-02",1995,12
"0013-2657-02",1995,12
"0013-2658-02",1995,12
"0013-5301-17",1992,12
"0013-8303-04",1995,3
"0013-8717-62",1995,5
"0013-8727-89",1995,5
"0019-0953-03",2003,10
"0019-0953-09",2003,10
"0019-0953-11",2003,10
"0019-0953-13",2003,10
"0019-0953-15",2003,10
"0023-0042-03",1997,8
"0023-0042-10",1997,8
"0023-0042-15",1997,8
"0023-0066-04",1990,1
"0023-0106-05",1990,2
"0023-0106-10",1990,2
"0023-0240-04",1990,4
"0023-0240-21",1990,4
"0023-0312-04",1977,12
"0023-0312-07",1977,12
"0023-0313-04",1987,1
"0023-0316-04",1985,12
"0023-0403-05",1996,10
"0023-0403-10",1996,10
"0023-0403-30",1996,10
"0023-0403-50",1996,10
"0023-0403-70",1996,10
"0023-0506-01",1985,9
"0023-0506-50",1985,9
"0023-0752-27",1992,4
"0023-0798-01",1997,5
"0023-0798-02",1997,5
"0023-0798-03",1997,5
"0023-0798-04",1997,5
"0023-0798-15",1997,5
"0023-1145-01",1989,12
"0023-1145-02",1989,12
"0023-2181-05",1992,12
"0023-3205-02",2010,9
"0023-3205-03",2010,9
"0023-3205-05",2010,9
"0023-3205-08",2010,9
"0023-3240-01",2006,9
"0023-3240-03",2006,9
"0023-3240-15",2006,9
"0023-3348-08",2009,9
"0023-3416-05",2008,8
"0023-3416-30",2008,8
"0023-3416-60",2008,8
"0023-3507-05",2009,8
"0023-3507-30",2009,8
"0023-3615-01",2010,5
"0023-3615-25",2010,5
"0023-3616-03",2009,1
"0023-3616-04",2009,1
